 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 30, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\HinH_better.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3084E-05 g/cm3 = 1.9765E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   1.530E+00  1.791E-03   45.16 mm     1.60 mm   689.88 um  
 375.00 keV   1.451E+00  1.686E-03   50.22 mm     1.76 mm   741.61 um  
 400.00 keV   1.381E+00  1.594E-03   55.56 mm     1.92 mm   796.54 um  
 450.00 keV   1.260E+00  1.437E-03   67.00 mm     2.53 mm   915.81 um  
 500.00 keV   1.162E+00  1.310E-03   79.48 mm     3.09 mm     1.05 mm  
 550.00 keV   1.079E+00  1.205E-03   92.97 mm     3.65 mm     1.19 mm  
 600.00 keV   1.008E+00  1.116E-03  107.44 mm     4.20 mm     1.34 mm  
 650.00 keV   9.477E-01  1.039E-03  122.89 mm     4.75 mm     1.51 mm  
 700.00 keV   8.947E-01  9.735E-04  139.28 mm     5.30 mm     1.69 mm  
 800.00 keV   8.064E-01  8.650E-04  174.84 mm     7.34 mm     2.07 mm  
 900.00 keV   7.355E-01  7.791E-04  214.06 mm     9.23 mm     2.49 mm  
   1.00 MeV   6.772E-01  7.095E-04  256.85 mm    11.07 mm     2.94 mm  
   1.10 MeV   6.322E-01  6.518E-04  303.01 mm    12.89 mm     3.44 mm  
   1.20 MeV   5.879E-01  6.031E-04  352.55 mm    14.71 mm     3.97 mm  
   1.30 MeV   5.513E-01  5.616E-04  405.59 mm    16.55 mm     4.53 mm  
   1.40 MeV   5.197E-01  5.256E-04  462.01 mm    18.42 mm     5.12 mm  
   1.50 MeV   4.918E-01  4.942E-04  521.75 mm    20.31 mm     5.75 mm  
   1.60 MeV   4.670E-01  4.665E-04  584.76 mm    22.23 mm     6.42 mm  
   1.70 MeV   4.448E-01  4.418E-04  651.03 mm    24.18 mm     7.11 mm  
   1.80 MeV   4.247E-01  4.197E-04  720.51 mm    26.16 mm     7.84 mm  
   2.00 MeV   3.899E-01  3.819E-04  868.97 mm    33.66 mm     9.39 mm  
   2.25 MeV   3.542E-01  3.436E-04    1.07 m     44.39 mm    11.51 mm  
   2.50 MeV   3.250E-01  3.125E-04    1.29 m     54.57 mm    13.82 mm  
   2.75 MeV   3.005E-01  2.868E-04    1.54 m     64.55 mm    16.31 mm  
   3.00 MeV   2.797E-01  2.652E-04    1.80 m     74.49 mm    18.99 mm  
   3.25 MeV   2.618E-01  2.467E-04    2.08 m     84.48 mm    21.85 mm  
   3.50 MeV   2.462E-01  2.307E-04    2.37 m     94.57 mm    24.90 mm  
   3.75 MeV   2.325E-01  2.168E-04    2.69 m    104.79 mm    28.12 mm  
   4.00 MeV   2.203E-01  2.045E-04    3.02 m    115.15 mm    31.52 mm  
   4.50 MeV   1.997E-01  1.838E-04    3.74 m    154.16 mm    38.84 mm  
   5.00 MeV   1.829E-01  1.671E-04    4.53 m    190.87 mm    46.84 mm  
   5.50 MeV   1.689E-01  1.533E-04    5.39 m    226.79 mm    55.52 mm  
   6.00 MeV   1.570E-01  1.416E-04    6.32 m    262.54 mm    64.85 mm  
   6.50 MeV   1.468E-01  1.317E-04    7.32 m    298.46 mm    74.84 mm  
   7.00 MeV   1.379E-01  1.231E-04    8.38 m    334.72 mm    85.47 mm  
   8.00 MeV   1.232E-01  1.090E-04   10.69 m    469.72 mm   108.64 mm  
   9.00 MeV   1.116E-01  9.794E-05   13.27 m    595.80 mm   134.29 mm  
  10.00 MeV   1.021E-01  8.897E-05   16.10 m    719.24 mm   162.37 mm  
  11.00 MeV   9.416E-02  8.155E-05   19.18 m    842.51 mm   192.85 mm  
  12.00 MeV   8.748E-02  7.532E-05   22.51 m    966.76 mm   225.68 mm  
  13.00 MeV   8.175E-02  7.001E-05   26.08 m      1.09 m    260.82 mm  
  14.00 MeV   7.678E-02  6.542E-05   29.90 m      1.22 m    298.24 mm  
  15.00 MeV   7.243E-02  6.142E-05   33.95 m      1.35 m    337.91 mm  
  16.00 MeV   6.859E-02  5.790E-05   38.23 m      1.48 m    379.80 mm  
  17.00 MeV   6.516E-02  5.477E-05   42.75 m      1.62 m    423.88 mm  
  18.00 MeV   6.209E-02  5.197E-05   47.50 m      1.75 m    470.13 mm  
  20.00 MeV   5.680E-02  4.719E-05   57.67 m      2.27 m    569.08 mm  
  22.50 MeV   5.144E-02  4.235E-05   71.65 m      3.02 m    704.56 mm  
  25.00 MeV   4.707E-02  3.845E-05   87.00 m      3.73 m    852.84 mm  
  27.50 MeV   4.345E-02  3.522E-05  103.70 m      4.42 m      1.01 m   
  30.00 MeV   4.040E-02  3.251E-05  121.72 m      5.11 m      1.19 m   
  32.50 MeV   3.779E-02  3.020E-05  141.05 m      5.80 m      1.37 m   
  35.00 MeV   3.553E-02  2.821E-05  161.66 m      6.50 m      1.57 m   
  37.50 MeV   3.355E-02  2.647E-05  183.54 m      7.21 m      1.78 m   
  40.00 MeV   3.180E-02  2.495E-05  206.66 m      7.93 m      2.00 m   
  45.00 MeV   2.886E-02  2.238E-05  256.52 m     10.63 m      2.47 m   
  50.00 MeV   2.648E-02  2.030E-05  311.17 m     13.17 m      2.98 m   
  55.00 MeV   2.450E-02  1.859E-05  370.48 m     15.64 m      3.54 m   
  60.00 MeV   2.284E-02  1.716E-05  434.34 m     18.08 m      4.14 m   
  65.00 MeV   2.141E-02  1.593E-05  502.65 m     20.53 m      4.77 m   
  70.00 MeV   2.019E-02  1.488E-05  575.31 m     22.99 m      5.45 m   
  80.00 MeV   1.817E-02  1.315E-05  733.09 m     32.09 m      6.90 m   
  90.00 MeV   1.658E-02  1.179E-05  907.21 m     40.51 m      8.50 m   
 100.00 MeV   1.529E-02  1.069E-05    1.10 km    48.66 m     10.23 m   
 110.00 MeV   1.423E-02  9.788E-06    1.30 km    56.70 m     12.08 m   
 120.00 MeV   1.333E-02  9.029E-06    1.52 km    64.71 m     14.06 m   
 130.00 MeV   1.257E-02  8.383E-06    1.75 km    72.72 m     16.14 m   
 140.00 MeV   1.192E-02  7.825E-06    2.00 km    80.75 m     18.33 m   
 150.00 MeV   1.134E-02  7.339E-06    2.26 km    88.81 m     20.63 m   
 160.00 MeV   1.084E-02  6.912E-06    2.53 km    96.90 m     23.02 m   
 170.00 MeV   1.039E-02  6.533E-06    2.82 km   105.03 m     25.51 m   
 180.00 MeV   9.997E-03  6.195E-06    3.11 km   113.19 m     28.08 m   
 200.00 MeV   9.318E-03  5.617E-06    3.74 km   143.91 m     33.48 m   
 225.00 MeV   8.635E-03  5.033E-06    4.58 km   187.06 m     40.65 m   
 250.00 MeV   8.086E-03  4.563E-06    5.49 km   226.83 m     48.25 m   
 275.00 MeV   7.636E-03  4.175E-06    6.45 km   264.71 m     56.23 m   
 300.00 MeV   7.261E-03  3.850E-06    7.46 km   301.36 m     64.55 m   
 325.00 MeV   6.943E-03  3.573E-06    8.53 km   337.11 m     73.17 m   
 350.00 MeV   6.671E-03  3.334E-06    9.64 km   372.16 m     82.06 m   
 375.00 MeV   6.435E-03  3.126E-06   10.79 km   406.60 m     91.19 m   
 400.00 MeV   6.230E-03  2.943E-06   11.98 km   440.53 m    100.52 m   
 450.00 MeV   5.890E-03  2.637E-06   14.48 km   564.93 m    119.74 m   
 500.00 MeV   5.620E-03  2.389E-06   17.10 km   676.64 m    139.54 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.3083E-04                 eV / Angstrom 
  3.3083E-03                keV / micron   
  3.3083E-03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.6738E+00                 eV / (1E15 atoms/cm2)
  5.5947E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
