 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 04, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen (gas).txt

 Ion = Carbon [6] , Mass = 16 amu

 Target Density =  3.0840E-05 g/cm3 = 1.8424E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   2.480E-02  1.504E-03   17.22 mm   670.66 um   718.59 um  
 375.00 keV   2.553E-02  1.429E-03   18.15 mm   690.87 um   740.57 um  
 400.00 keV   2.622E-02  1.362E-03   19.07 mm   709.56 um   761.19 um  
 450.00 keV   2.748E-02  1.247E-03   20.84 mm   764.00 um   798.99 um  
 500.00 keV   2.862E-02  1.152E-03   22.55 mm   811.04 um   832.97 um  
 550.00 keV   2.967E-02  1.071E-03   24.20 mm   852.53 um   863.83 um  
 600.00 keV   3.067E-02  1.002E-03   25.80 mm   889.66 um   892.09 um  
 650.00 keV   3.162E-02  9.421E-04   27.35 mm   923.25 um   918.14 um  
 700.00 keV   3.256E-02  8.896E-04   28.86 mm   953.88 um   942.28 um  
 800.00 keV   3.441E-02  8.017E-04   31.77 mm     1.05 mm   985.68 um  
 900.00 keV   3.630E-02  7.309E-04   34.54 mm     1.13 mm     1.02 mm  
   1.00 MeV   3.826E-02  6.725E-04   37.17 mm     1.19 mm     1.06 mm  
   1.10 MeV   4.030E-02  6.235E-04   39.67 mm     1.25 mm     1.09 mm  
   1.20 MeV   4.243E-02  5.817E-04   42.05 mm     1.30 mm     1.11 mm  
   1.30 MeV   4.464E-02  5.456E-04   44.31 mm     1.34 mm     1.14 mm  
   1.40 MeV   4.690E-02  5.140E-04   46.47 mm     1.38 mm     1.16 mm  
   1.50 MeV   4.921E-02  4.862E-04   48.53 mm     1.42 mm     1.18 mm  
   1.60 MeV   5.154E-02  4.614E-04   50.50 mm     1.45 mm     1.20 mm  
   1.70 MeV   5.388E-02  4.393E-04   52.38 mm     1.47 mm     1.21 mm  
   1.80 MeV   5.620E-02  4.193E-04   54.18 mm     1.50 mm     1.23 mm  
   2.00 MeV   6.075E-02  3.847E-04   57.57 mm     1.58 mm     1.25 mm  
   2.25 MeV   6.613E-02  3.493E-04   61.49 mm     1.68 mm     1.28 mm  
   2.50 MeV   7.104E-02  3.203E-04   65.11 mm     1.76 mm     1.30 mm  
   2.75 MeV   7.542E-02  2.960E-04   68.51 mm     1.82 mm     1.32 mm  
