! 16C energy loss (dE/dX) in H
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
860.000000	0.0413896 	860.000000	0.166228  	860.000000	0.168463  	860.000000	0.16757   	860.000000	0.168462  	860.000000	0.166182  	860.000000	4.64081e-05	
880.000000	0.0411212 	880.000000	0.165204  	880.000000	0.167471  	880.000000	0.16658   	880.000000	0.167469  	880.000000	0.165159  	880.000000	4.54259e-05	
900.000000	0.0408675 	900.000000	0.164238  	900.000000	0.166533  	900.000000	0.165644  	900.000000	0.16653   	900.000000	0.164194  	900.000000	4.44857e-05	
920.000000	0.0406275 	920.000000	0.163327  	920.000000	0.165646  	920.000000	0.164757  	920.000000	0.165641  	920.000000	0.163283  	920.000000	4.35849e-05	
940.000000	0.0404004 	940.000000	0.162466  	940.000000	0.164805  	940.000000	0.163918  	940.000000	0.164798  	940.000000	0.162423  	940.000000	4.27211e-05	
960.000000	0.0401855 	960.000000	0.161652  	960.000000	0.164005  	960.000000	0.163122  	960.000000	0.163999  	960.000000	0.161611  	960.000000	4.18919e-05	
980.000000	0.039982  	980.000000	0.160884  	980.000000	0.163245  	980.000000	0.162367  	980.000000	0.163242  	980.000000	0.160843  	980.000000	4.10954e-05	
1000.000000	0.0397893 	1000.000000	0.160158  	1000.000000	0.162522  	1000.000000	0.16165   	1000.000000	0.162522  	1000.000000	0.160118  	1000.000000	4.03295e-05	
1020.000000	0.0396068 	1020.000000	0.159472  	1020.000000	0.161836  	1020.000000	0.16097   	1020.000000	0.161839  	1020.000000	0.159432  	1020.000000	3.95926e-05	
1040.000000	0.039434  	1040.000000	0.158823  	1040.000000	0.161185  	1040.000000	0.160323  	1040.000000	0.16119   	1040.000000	0.158784  	1040.000000	3.8883e-05	
1060.000000	0.0392702 	1060.000000	0.15821   	1060.000000	0.160568  	1060.000000	0.159708  	1060.000000	0.160573  	1060.000000	0.158172  	1060.000000	3.81993e-05	
1080.000000	0.0391152 	1080.000000	0.15763   	1080.000000	0.159983  	1080.000000	0.159123  	1080.000000	0.159986  	1080.000000	0.157593  	1080.000000	3.75399e-05	
1100.000000	0.0389683 	1100.000000	0.157083  	1100.000000	0.159425  	1100.000000	0.158567  	1100.000000	0.159427  	1100.000000	0.157046  	1100.000000	3.69036e-05	
1120.000000	0.0388293 	1120.000000	0.156565  	1120.000000	0.158895  	1120.000000	0.158037  	1120.000000	0.158896  	1120.000000	0.156528  	1120.000000	3.62893e-05	
1140.000000	0.0386976 	1140.000000	0.156076  	1140.000000	0.158389  	1140.000000	0.157532  	1140.000000	0.158389  	1140.000000	0.15604   	1140.000000	3.56957e-05	
1160.000000	0.038573  	1160.000000	0.155613  	1160.000000	0.157907  	1160.000000	0.157052  	1160.000000	0.157907  	1160.000000	0.155578  	1160.000000	3.51219e-05	
1180.000000	0.0384551 	1180.000000	0.155177  	1180.000000	0.157448  	1180.000000	0.156594  	1180.000000	0.157447  	1180.000000	0.155142  	1180.000000	3.45668e-05	
1200.000000	0.0383437 	1200.000000	0.154765  	1200.000000	0.15701   	1200.000000	0.156157  	1200.000000	0.157008  	1200.000000	0.154731  	1200.000000	3.40296e-05	
1220.000000	0.0382383 	1220.000000	0.154377  	1220.000000	0.156593  	1220.000000	0.155741  	1220.000000	0.15659   	1220.000000	0.154343  	1220.000000	3.35093e-05	
1240.000000	0.0381387 	1240.000000	0.15401   	1240.000000	0.156196  	1240.000000	0.155344  	1240.000000	0.156191  	1240.000000	0.153977  	1240.000000	3.30052e-05	
1260.000000	0.0380447 	1260.000000	0.153665  	1260.000000	0.155816  	1260.000000	0.154965  	1260.000000	0.155811  	1260.000000	0.153632  	1260.000000	3.25166e-05	
1280.000000	0.037956  	1280.000000	0.15334   	1280.000000	0.155454  	1280.000000	0.154603  	1280.000000	0.155448  	1280.000000	0.153308  	1280.000000	3.20426e-05	
1300.000000	0.0378725 	1300.000000	0.153034  	1300.000000	0.155107  	1300.000000	0.154258  	1300.000000	0.155101  	1300.000000	0.153002  	1300.000000	3.15828e-05	
1320.000000	0.0377938 	1320.000000	0.152747  	1320.000000	0.154776  	1320.000000	0.153929  	1320.000000	0.15477   	1320.000000	0.152715  	1320.000000	3.11363e-05	
1340.000000	0.0377197 	1340.000000	0.152477  	1340.000000	0.154459  	1340.000000	0.153615  	1340.000000	0.154455  	1340.000000	0.152446  	1340.000000	3.07028e-05	
1360.000000	0.0376502 	1360.000000	0.152224  	1360.000000	0.154156  	1360.000000	0.153315  	1360.000000	0.154153  	1360.000000	0.152194  	1360.000000	3.02815e-05	
1380.000000	0.0375849 	1380.000000	0.151987  	1380.000000	0.153866  	1380.000000	0.153028  	1380.000000	0.153865  	1380.000000	0.151957  	1380.000000	2.9872e-05	
1400.000000	0.0375238 	1400.000000	0.151765  	1400.000000	0.153589  	1400.000000	0.152754  	1400.000000	0.15359   	1400.000000	0.151736  	1400.000000	2.94738e-05	
1420.000000	0.0374666 	1420.000000	0.151559  	1420.000000	0.153325  	1420.000000	0.152493  	1420.000000	0.153328  	1420.000000	0.15153   	1420.000000	2.90864e-05	
1440.000000	0.0374133 	1440.000000	0.151366  	1440.000000	0.153073  	1440.000000	0.152243  	1440.000000	0.153077  	1440.000000	0.151338  	1440.000000	2.87093e-05	
1460.000000	0.0373636 	1460.000000	0.151187  	1460.000000	0.152833  	1460.000000	0.152005  	1460.000000	0.152837  	1460.000000	0.151159  	1460.000000	2.83423e-05	
1480.000000	0.0373174 	1480.000000	0.151022  	1480.000000	0.152604  	1480.000000	0.151778  	1480.000000	0.152609  	1480.000000	0.150994  	1480.000000	2.79848e-05	
1500.000000	0.0372746 	1500.000000	0.150868  	1500.000000	0.152386  	1500.000000	0.15156   	1500.000000	0.15239   	1500.000000	0.150841  	1500.000000	2.76365e-05	
1520.000000	0.0372351 	1520.000000	0.150727  	1520.000000	0.152178  	1520.000000	0.151353  	1520.000000	0.152181  	1520.000000	0.1507    	1520.000000	2.7297e-05	
1540.000000	0.0371988 	1540.000000	0.150598  	1540.000000	0.151979  	1540.000000	0.151155  	1540.000000	0.151982  	1540.000000	0.150571  	1540.000000	2.69661e-05	
1560.000000	0.0371655 	1560.000000	0.150479  	1560.000000	0.15179   	1560.000000	0.150965  	1560.000000	0.151792  	1560.000000	0.150453  	1560.000000	2.66433e-05	
1580.000000	0.0371351 	1580.000000	0.150371  	1580.000000	0.151609  	1580.000000	0.150785  	1580.000000	0.151611  	1580.000000	0.150345  	1580.000000	2.63284e-05	
1600.000000	0.0371076 	1600.000000	0.150274  	1600.000000	0.151437  	1600.000000	0.150613  	1600.000000	0.151437  	1600.000000	0.150248  	1600.000000	2.60211e-05	
1620.000000	0.0370827 	1620.000000	0.150187  	1620.000000	0.151272  	1620.000000	0.150448  	1620.000000	0.151272  	1620.000000	0.150161  	1620.000000	2.57212e-05	
1640.000000	0.0370606 	1640.000000	0.150109  	1640.000000	0.151115  	1640.000000	0.150292  	1640.000000	0.151114  	1640.000000	0.150083  	1640.000000	2.54283e-05	
1660.000000	0.037041  	1660.000000	0.15004   	1660.000000	0.150966  	1660.000000	0.150142  	1660.000000	0.150964  	1660.000000	0.150015  	1660.000000	2.51422e-05	
1680.000000	0.0370238 	1680.000000	0.149981  	1680.000000	0.150823  	1680.000000	0.15      	1680.000000	0.150821  	1680.000000	0.149956  	1680.000000	2.48626e-05	
1700.000000	0.0370091 	1700.000000	0.14993   	1700.000000	0.150686  	1700.000000	0.149864  	1700.000000	0.150684  	1700.000000	0.149905  	1700.000000	2.45895e-05	
1750.000000	0.0369822 	1750.000000	0.149838  	1750.000000	0.150373  	1750.000000	0.149552  	1750.000000	0.15037   	1750.000000	0.149814  	1750.000000	2.39329e-05	
1800.000000	0.0369687 	1800.000000	0.149794  	1800.000000	0.150096  	1800.000000	0.149276  	1800.000000	0.150092  	1800.000000	0.14977   	1800.000000	2.33115e-05	
1850.000000	0.0369675 	1850.000000	0.149793  	1850.000000	0.149851  	1850.000000	0.149034  	1850.000000	0.149848  	1850.000000	0.149771  	1850.000000	2.27226e-05	
1900.000000	0.0369778 	1900.000000	0.149834  	1900.000000	0.149636  	1900.000000	0.148822  	1900.000000	0.149634  	1900.000000	0.149811  	1900.000000	2.21635e-05	
1950.000000	0.0369988 	1950.000000	0.149911  	1950.000000	0.149448  	1950.000000	0.148637  	1950.000000	0.149447  	1950.000000	0.14989   	1950.000000	2.16322e-05	
2000.000000	0.0370298 	2000.000000	0.150023  	2000.000000	0.149285  	2000.000000	0.148477  	2000.000000	0.149286  	2000.000000	0.150002  	2000.000000	2.11265e-05	
2100.000000	0.0371189 	2100.000000	0.150341  	2100.000000	0.149027  	2100.000000	0.148223  	2100.000000	0.149029  	2100.000000	0.150321  	2100.000000	2.0185e-05	
2200.000000	0.0372408 	2200.000000	0.15077   	2200.000000	0.148846  	2200.000000	0.148045  	2200.000000	0.148849  	2200.000000	0.150751  	2200.000000	1.93262e-05	
2300.000000	0.0373914 	2300.000000	0.151296  	2300.000000	0.148731  	2300.000000	0.147932  	2300.000000	0.148733  	2300.000000	0.151277  	2300.000000	1.85395e-05	
2400.000000	0.0375677 	2400.000000	0.151905  	2400.000000	0.14867   	2400.000000	0.147873  	2400.000000	0.148672  	2400.000000	0.151887  	2400.000000	1.78163e-05	
2500.000000	0.037767  	2500.000000	0.152589  	2500.000000	0.148657  	2500.000000	0.14786   	2500.000000	0.148658  	2500.000000	0.152572  	2500.000000	1.71489e-05	
2600.000000	0.0379868 	2600.000000	0.153338  	2600.000000	0.148683  	2600.000000	0.147887  	2600.000000	0.148682  	2600.000000	0.153321  	2600.000000	1.65312e-05	
2700.000000	0.0382253 	2700.000000	0.154145  	2700.000000	0.148742  	2700.000000	0.147947  	2700.000000	0.148741  	2700.000000	0.154129  	2700.000000	1.59577e-05	
2800.000000	0.0384808 	2800.000000	0.155004  	2800.000000	0.14883   	2800.000000	0.148036  	2800.000000	0.148828  	2800.000000	0.154989  	2800.000000	1.54239e-05	
2900.000000	0.0387517 	2900.000000	0.15591   	2900.000000	0.148942  	2900.000000	0.148149  	2900.000000	0.14894   	2900.000000	0.155895  	2900.000000	1.49256e-05	
3000.000000	0.0390368 	3000.000000	0.156857  	3000.000000	0.149075  	3000.000000	0.148284  	3000.000000	0.149073  	3000.000000	0.156842  	3000.000000	1.44594e-05	
3200.000000	0.0396452 	3200.000000	0.158859  	3200.000000	0.149392  	3200.000000	0.148605  	3200.000000	0.149392  	3200.000000	0.158846  	3200.000000	1.36117e-05	
3400.000000	0.0402985 	3400.000000	0.160985  	3400.000000	0.149764  	3400.000000	0.148979  	3400.000000	0.149764  	3400.000000	0.160972  	3400.000000	1.28605e-05	
3600.000000	0.0409907 	3600.000000	0.163213  	3600.000000	0.150176  	3600.000000	0.149393  	3600.000000	0.150177  	3600.000000	0.163201  	3600.000000	1.21901e-05	
3800.000000	0.0417172 	3800.000000	0.165526  	3800.000000	0.150617  	3800.000000	0.149837  	3800.000000	0.150618  	3800.000000	0.165515  	3800.000000	1.1588e-05	
4000.000000	0.0424742 	4000.000000	0.167911  	4000.000000	0.15108   	4000.000000	0.150301  	4000.000000	0.15108   	4000.000000	0.1679    	4000.000000	1.10442e-05	
4200.000000	0.0432587 	4200.000000	0.170356  	4200.000000	0.151557  	4200.000000	0.150779  	4200.000000	0.151558  	4200.000000	0.170346  	4200.000000	1.05505e-05	
4400.000000	0.044068  	4400.000000	0.172854  	4400.000000	0.152044  	4400.000000	0.151267  	4400.000000	0.152044  	4400.000000	0.172844  	4400.000000	1.01003e-05	
4600.000000	0.0449001 	4600.000000	0.175396  	4600.000000	0.152538  	4600.000000	0.151762  	4600.000000	0.152537  	4600.000000	0.175386  	4600.000000	9.68793e-06	
4800.000000	0.0457531 	4800.000000	0.177977  	4800.000000	0.153034  	4800.000000	0.152259  	4800.000000	0.153034  	4800.000000	0.177967  	4800.000000	9.30888e-06	
5000.000000	0.0466257 	5000.000000	0.180591  	5000.000000	0.153532  	5000.000000	0.152757  	5000.000000	0.153531  	5000.000000	0.180582  	5000.000000	8.95918e-06	
5250.000000	0.0477418 	5250.000000	0.183899  	5250.000000	0.154152  	5250.000000	0.153378  	5250.000000	0.154151  	5250.000000	0.18389   	5250.000000	8.55834e-06	
5500.000000	0.0488843 	5500.000000	0.187246  	5500.000000	0.154768  	5500.000000	0.153995  	5500.000000	0.154767  	5500.000000	0.187237  	5500.000000	8.1928e-06	
6000.000000	0.0512418 	6000.000000	0.194033  	6000.000000	0.155981  	6000.000000	0.15521   	6000.000000	0.155979  	6000.000000	0.194025  	6000.000000	7.55031e-06	
6500.000000	0.053687  	6500.000000	0.200917  	6500.000000	0.157161  	6500.000000	0.156392  	6500.000000	0.157159  	6500.000000	0.20091   	6500.000000	7.00369e-06	
7000.000000	0.0562123 	7000.000000	0.207873  	7000.000000	0.158303  	7000.000000	0.157536  	7000.000000	0.1583    	7000.000000	0.207866  	7000.000000	6.53281e-06	
7500.000000	0.0588116 	7500.000000	0.214882  	7500.000000	0.1594    	7500.000000	0.15864   	7500.000000	0.159403  	7500.000000	0.214876  	7500.000000	6.12281e-06	
8000.000000	0.0614807 	8000.000000	0.221932  	8000.000000	0.160461  	8000.000000	0.159704  	8000.000000	0.160465  	8000.000000	0.221926  	8000.000000	5.76253e-06	
8500.000000	0.064216  	8500.000000	0.229012  	8500.000000	0.161487  	8500.000000	0.16073   	8500.000000	0.161488  	8500.000000	0.229006  	8500.000000	5.44335e-06	
9000.000000	0.067015  	9000.000000	0.236114  	9000.000000	0.162475  	9000.000000	0.161717  	9000.000000	0.162474  	9000.000000	0.236109  	9000.000000	5.15856e-06	
9500.000000	0.0698756 	9500.000000	0.243233  	9500.000000	0.163425  	9500.000000	0.162669  	9500.000000	0.163423  	9500.000000	0.243228  	9500.000000	4.90285e-06	
10000.000000	0.0727959 	10000.000000	0.250365  	10000.000000	0.164338  	10000.000000	0.163586  	10000.000000	0.164338  	10000.000000	0.25036   	10000.000000	4.67195e-06	
11000.000000	0.0788107 	11000.000000	0.26465   	11000.000000	0.16607   	11000.000000	0.165326  	11000.000000	0.166073  	11000.000000	0.264646  	11000.000000	4.27127e-06	
12000.000000	0.085051  	12000.000000	0.27895   	12000.000000	0.167691  	12000.000000	0.16695   	12000.000000	0.167692  	12000.000000	0.278946  	12000.000000	3.93545e-06	
13000.000000	0.0915113 	13000.000000	0.293249  	13000.000000	0.169208  	13000.000000	0.16847   	13000.000000	0.169208  	13000.000000	0.293246  	13000.000000	3.64981e-06	
14000.000000	0.0981873 	14000.000000	0.30754   	14000.000000	0.170632  	14000.000000	0.169898  	14000.000000	0.170631  	14000.000000	0.307537  	14000.000000	3.4038e-06	
15000.000000	0.105076  	15000.000000	0.321817  	15000.000000	0.171971  	15000.000000	0.171244  	15000.000000	0.171971  	15000.000000	0.321814  	15000.000000	3.18964e-06	
16000.000000	0.112176  	16000.000000	0.336076  	16000.000000	0.173235  	16000.000000	0.172516  	16000.000000	0.173237  	16000.000000	0.336073  	16000.000000	3.00149e-06	
17000.000000	0.119485  	17000.000000	0.350314  	17000.000000	0.174433  	17000.000000	0.173721  	17000.000000	0.174436  	17000.000000	0.350311  	17000.000000	2.83482e-06	
18000.000000	0.127002  	18000.000000	0.364529  	18000.000000	0.175571  	18000.000000	0.174866  	18000.000000	0.175574  	18000.000000	0.364526  	18000.000000	2.68615e-06	
19000.000000	0.134728  	19000.000000	0.378721  	19000.000000	0.176654  	19000.000000	0.175956  	19000.000000	0.176657  	19000.000000	0.378718  	19000.000000	2.55267e-06	
20000.000000	0.14266   	20000.000000	0.392889  	20000.000000	0.177688  	20000.000000	0.176996  	20000.000000	0.17769   	20000.000000	0.392886  	20000.000000	2.43215e-06	
21000.000000	0.150799  	21000.000000	0.407033  	21000.000000	0.178676  	21000.000000	0.17799   	21000.000000	0.178676  	21000.000000	0.40703   	21000.000000	2.32278e-06	
22000.000000	0.159145  	22000.000000	0.421153  	22000.000000	0.17962   	22000.000000	0.178942  	22000.000000	0.17962   	22000.000000	0.42115   	22000.000000	2.22307e-06	
23000.000000	0.167698  	23000.000000	0.435248  	23000.000000	0.180526  	23000.000000	0.179855  	23000.000000	0.180526  	23000.000000	0.435246  	23000.000000	2.13178e-06	
24000.000000	0.176458  	24000.000000	0.44932   	24000.000000	0.181396  	24000.000000	0.180733  	24000.000000	0.181394  	24000.000000	0.449318  	24000.000000	2.04787e-06	
25000.000000	0.185426  	25000.000000	0.463369  	25000.000000	0.182232  	25000.000000	0.181577  	25000.000000	0.18223   	25000.000000	0.463367  	25000.000000	1.97049e-06	
26000.000000	0.194601  	26000.000000	0.477395  	26000.000000	0.183036  	26000.000000	0.182391  	26000.000000	0.183035  	26000.000000	0.477393  	26000.000000	1.89889e-06	
27000.000000	0.203985  	27000.000000	0.491398  	27000.000000	0.183812  	27000.000000	0.183176  	27000.000000	0.18381   	27000.000000	0.491396  	27000.000000	1.83244e-06	
28000.000000	0.213577  	28000.000000	0.505379  	28000.000000	0.184561  	28000.000000	0.183935  	28000.000000	0.184559  	28000.000000	0.505377  	28000.000000	1.7706e-06	
29000.000000	0.223378  	29000.000000	0.519339  	29000.000000	0.185284  	29000.000000	0.184668  	29000.000000	0.185282  	29000.000000	0.519337  	29000.000000	1.7129e-06	
30000.000000	0.233389  	30000.000000	0.533277  	30000.000000	0.185983  	30000.000000	0.185378  	30000.000000	0.185981  	30000.000000	0.533276  	30000.000000	1.65894e-06	
32000.000000	0.254043  	32000.000000	0.561093  	32000.000000	0.187318  	32000.000000	0.186734  	32000.000000	0.187315  	32000.000000	0.561091  	32000.000000	1.56085e-06	
34000.000000	0.275542  	34000.000000	0.588829  	34000.000000	0.188575  	34000.000000	0.188011  	34000.000000	0.188569  	34000.000000	0.588827  	34000.000000	1.47399e-06	
36000.000000	0.297893  	36000.000000	0.61649   	36000.000000	0.18976   	36000.000000	0.189219  	36000.000000	0.189752  	36000.000000	0.616489  	36000.000000	1.39651e-06	
38000.000000	0.321101  	38000.000000	0.644079  	38000.000000	0.190878  	38000.000000	0.190364  	38000.000000	0.190872  	38000.000000	0.644078  	38000.000000	1.32695e-06	
40000.000000	0.345173  	40000.000000	0.6716    	40000.000000	0.191938  	40000.000000	0.191453  	40000.000000	0.191933  	40000.000000	0.671598  	40000.000000	1.26416e-06	
42000.000000	0.370115  	42000.000000	0.699054  	42000.000000	0.192946  	42000.000000	0.192491  	42000.000000	0.192942  	42000.000000	0.699053  	42000.000000	1.20719e-06	
44000.000000	0.395934  	44000.000000	0.726446  	44000.000000	0.193908  	44000.000000	0.193482  	44000.000000	0.193904  	44000.000000	0.726445  	44000.000000	1.15525e-06	
46000.000000	0.422636  	46000.000000	0.753777  	46000.000000	0.19483   	46000.000000	0.194431  	46000.000000	0.194822  	46000.000000	0.753776  	46000.000000	1.10771e-06	
48000.000000	0.450227  	48000.000000	0.78105   	48000.000000	0.195712  	48000.000000	0.19534   	48000.000000	0.195699  	48000.000000	0.781049  	48000.000000	1.06401e-06	
50000.000000	0.478716  	50000.000000	0.808268  	50000.000000	0.196557  	50000.000000	0.196214  	50000.000000	0.196539  	50000.000000	0.808267  	50000.000000	1.02372e-06	
